"param_id","file_path","last_modified","params_json","remove_numbers","split_on","split_hyphens","min_ngram_count","doc_id_field","text_field","parent_id","get_ngram"
"params_aa9ea4b8","~/R_Work/results/results_params_aa9ea4b8.rds",2025-02-18 20:21:40.033994,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",1,"paragraph",0,0,"para_id","paragraph","file",FALSE
"params_c0e72756","~/R_Work/results/results_params_c0e72756.rds",2025-02-18 20:21:41.976791,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",0,5,"para_id","paragraph","file",TRUE
"params_4ee7fb33","~/R_Work/results/results_params_4ee7fb33.rds",2025-02-18 20:21:44.026389,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",0,10,"para_id","paragraph","file",TRUE
"params_a053f88d","~/R_Work/results/results_params_a053f88d.rds",2025-02-18 20:21:45.760251,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":20,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",0,20,"para_id","paragraph","file",TRUE
"params_a2ac8d1f","~/R_Work/results/results_params_a2ac8d1f.rds",2025-02-18 20:21:46.240354,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",0,"document",1,0,"doc_id","full_doc_text","doc_id",FALSE
"params_2353d964","~/R_Work/results/results_params_2353d964.rds",2025-02-18 20:21:46.752907,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",1,5,"doc_id","full_doc_text","doc_id",TRUE
"params_1182fdb7","~/R_Work/results/results_params_1182fdb7.rds",2025-02-18 20:21:47.19787,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",1,10,"doc_id","full_doc_text","doc_id",TRUE
"params_9d80885a","~/R_Work/results/results_params_9d80885a.rds",2025-02-18 20:21:47.655803,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",1,20,"doc_id","full_doc_text","doc_id",TRUE
"params_4077ca46","~/R_Work/results/results_params_4077ca46.rds",2025-02-18 20:21:48.073156,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",0,"document",0,0,"doc_id","full_doc_text","doc_id",FALSE
"params_77ae0289","~/R_Work/results/results_params_77ae0289.rds",2025-02-18 20:21:48.53609,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",0,5,"doc_id","full_doc_text","doc_id",TRUE
"params_d2dc80a8","~/R_Work/results/results_params_d2dc80a8.rds",2025-02-18 20:21:48.983002,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",0,10,"doc_id","full_doc_text","doc_id",TRUE
"params_bb471fd7","~/R_Work/results/results_params_bb471fd7.rds",2025-02-18 20:21:49.435316,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",0,20,"doc_id","full_doc_text","doc_id",TRUE
"params_b11678de","~/R_Work/results/results_params_b11678de.rds",2025-02-18 20:21:51.043878,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",0,"paragraph",1,0,"para_id","paragraph","file",FALSE
"params_e53c7e3d","~/R_Work/results/results_params_e53c7e3d.rds",2025-02-18 20:21:52.854044,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",1,5,"para_id","paragraph","file",TRUE
"params_6bf517e8","~/R_Work/results/results_params_6bf517e8.rds",2025-02-18 20:21:54.590546,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",1,10,"para_id","paragraph","file",TRUE
"params_80ada732","~/R_Work/results/results_params_80ada732.rds",2025-02-18 20:21:56.516172,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",1,20,"para_id","paragraph","file",TRUE
"params_aa4a394f","~/R_Work/results/results_params_aa4a394f.rds",2025-02-18 20:21:58.255219,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",0,"paragraph",0,0,"para_id","paragraph","file",FALSE
"params_362c20ce","~/R_Work/results/results_params_362c20ce.rds",2025-02-18 20:21:59.980614,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",0,5,"para_id","paragraph","file",TRUE
"params_580ffca4","~/R_Work/results/results_params_580ffca4.rds",2025-02-18 20:22:01.713324,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",0,10,"para_id","paragraph","file",TRUE
"params_718d023d","~/R_Work/results/results_params_718d023d.rds",2025-02-18 20:22:03.445614,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":20,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",0,20,"para_id","paragraph","file",TRUE
